TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
10026-11-6,50-00-0,7726-95-6,7783-60-0,118-74-1,80-05-7,1344-37-2,78-87-5,,116633-52-4,,,115-07-1
10026-12-7,76-44-8,4170-30-3,77-81-6,87-68-3,50-32-8,12656-85-8,78-84-2,,160653-08-7,,,115-28-6
10026-13-8,118-74-1,123-73-9,7783-80-4,77-47-4,4149-60-4,7758-97-6,78-83-1,,168811-65-2,,,115-32-2
10026-17-2,87-68-3,1306-19-0,115-21-9,67-72-1,375-95-1,84-69-5,78-81-9,,1644400-33-8,,,115-96-8
10026-18-3,77-47-4,2223-93-0,98-13-5,822-06-0,21049-39-8,15606-95-8,78-79-5,,107-04-0,,,116-06-3
1002-62-6,67-72-1,7778-44-1,555-77-1,680-31-9,98-95-3,7789-12-0,78-82-0,,1622295-07-1,,,116-14-3
100-26-5,822-06-0,56-25-7,2217-06-3,110-54-3,36437-37-3,7784-40-9,79-46-9,,12163-45-0,,,1163-19-5
1002-67-1,680-31-9,51-83-2,2338-12-7,302-01-2,3864-99-1,134237-52-8,79-34-5,,134818-68-1,,,116355-83-0
1002-69-3,110-54-3,26419-73-8,2524-01-8,7647-01-0,1120-71-4,134237-51-7,79-24-3,,138751,,,116355-83-0
10026-98-9,302-01-2,1563-66-2,3811-04-9,7664-39-3,68648-93-1,25637-99-4,79-20-9,,125904-11-2,,,117-10-2
10026-99-0,7647-01-0,79-22-1,5842-06-8,7783-06-4,68515-51-5,3194-55-6,79-09-4,,125792,,,117-39-5
10027-33-5,7664-39-3,108-23-6,5842-07-9,123-31-9,10124-36-4,134237-50-6,79-00-5,,1267611-14-2,,,117-79-3
100-27-6,7783-06-4,109-61-5,7446-09-5,58-89-9,7790-79-6,84-74-2,79-36-7,,132182-92-4,,,117-81-7
1002761-12-7,123-31-9,786-19-6,7446-11-9,108-31-6,15571-58-1,1327-53-3,79-27-6,,137361,,,117-81-7
10028-15-6,78-59-1,470-90-6,7637-07-2,67-56-1,3846-71-7,1303-28-2,80-62-6,,132482-53-2,,,118-74-1
10028-17-8,58-89-9,24934-91-6,7719-09-7,72-43-5,25973-55-1,117-81-7,80-63-7,,143372-54-7,,,118-92-3
10028-18-9,108-31-6,999-81-5,7775-09-9,74-83-9,7632-04-4,85-68-7,95-49-8,,121255-03-6,,,118-96-7
10028-22-5,67-56-1,51-75-2,7783-06-4,74-87-3,31119-53-6,85535-84-8,95-47-6,,121263-51-2,,,118399-22-7
1002-84-2,72-43-5,107-07-3,7783-07-5,71-55-6,15120-21-5,156609-10-8,96-33-3,,15578-32-2,,,119-34-6
100-28-7,74-83-9,627-11-2,10025-78-2,60-34-4,11138-47-9,27177-08-8,96-22-0,,161070,,,119-61-9
1002-89-7,74-87-3,3691-35-8,10026-04-7,74-88-4,10108-64-2,67905-91-3,98-82-8,,143501;UID-2016-00031,,,119-90-4
1002-91-1,71-55-6,542-76-7,10034-85-2,108-10-1,68515-50-4,136-83-4,98-83-9,,134701-20-5,,,119-93-7
10029-31-9,78-93-3,1982-47-4,10035-10-6,624-83-9,25155-23-1,139-84-4,100-63-0,,1708942-19-1,,,120-12-7
100-29-8,60-34-4,21923-23-9,100-38-9,80-62-6,301-04-2,26636-32-8,100-42-5,,1708942-21-5,,,120-58-1
1003-03-8,74-88-4,10025-73-7,10049-04-4,1634-04-4,96-45-7,67700-46-3,100-41-4,,141925,,,120-71-8
1003-04-9,108-10-1,10210-68-1,102-71-6,101-14-4,1937-37-7,70955-45-2,101-84-8,,132767-86-3,,,120-80-9
10030-73-6,624-83-9,62207-76-5,10294-33-4,75-09-2,573-58-0,11081-15-5,101-21-3,,1421761-18-3,,,12001-79-5
10030-80-5,80-62-6,64-86-8,10544-72-6,101-68-8,84-75-3,1806-26-4,102-71-6,,130097-33-5,,,7440-48-4
1003-09-4,1634-04-4,56-72-4,10544-73-7,101-77-9,1306-23-6,27193-28-8,105-46-4,,131830,,,12070-12-1
1003-10-7,101-14-4,5836-29-3,105-59-9,91-20-3,335-67-1,67554-50-1,106-99-0,,167512,,,121-14-2
10031-22-8,75-09-2,535-89-7,106-97-8,98-95-3,131-18-0,949-13-3,106-88-7,,142636-88-2,,,121-66-4
10031-24-0,101-68-8,12002-03-8,106-98-9,92-93-3,1306-19-0,12001-28-4,106-42-3,,1708942-15-7,,,121-69-7
10031-25-1,101-77-9,506-68-3,107-00-6,100-02-7,7440-43-9,12001-29-5,106-35-4,,12673-69-7,,,121-75-5
10031-26-2,91-20-3,506-78-5,107-01-7,79-46-9,3825-26-1,12172-73-5,106-96-7,,146453,,,121-88-0
10031-27-3,98-95-3,2636-26-2,107-25-5,684-93-5,26027-38-3,12413-45-5,107-87-9,,1604819-08-0,,,12122-67-7
1003-14-1,92-93-3,675-14-9,107-31-3,62-75-9,20427-84-3,132207-32-0,107-31-3,,159393-46-1,,,12174-11-7
10031-54-6,100-02-7,108-91-8,107-37-9,59-89-2,14409-72-4,132207-33-1,107-30-2,,1253404-90-8,,,12174-11-7
10031-59-1,79-46-9,66-81-9,107-72-2,56-38-2,27942-27-4,1332-21-4,107-19-7,,1705-60-8,,,12174-11-7
10031-71-7,684-93-5,17702-41-9,108-02-1,82-68-8,68412-54-4,13768-00-8,107-13-1,,168377,,,12192-57-3
10031-82-0,62-75-9,8065-48-3,109-27-3,87-86-5,7311-27-5,14567-73-8,107-12-0,,1577-03-3,,,122-34-9
10031-87-5,59-89-2,919-86-8,109-66-0,108-95-2,9016-45-9,16829-43-9,107-07-3,,140502,,,122-42-9
10031-90-0,56-38-2,10311-84-9,109-67-1,106-50-3,26571-11-9,17068-78-9,107-02-8,,1417900-96-9,,,122-60-1
10031-92-2,82-68-8,19287-45-7,109-92-2,75-44-5,37205-87-1,77536-66-4,107-66-4,,12056-51-8,,,122320-73-4
1003-19-6,87-86-5,110-57-6,109-95-5,7803-51-2,127087-87-0,77536-67-5,108-88-3,,153699-23-1,,,123-31-9
10032-02-7,108-95-2,149-74-6,111-48-8,7723-14-0,1119449-38-5,77536-68-6,108-87-2,,163206-28-8,,,123-33-1
10032-05-0,106-50-3,696-28-6,112-04-9,85-44-9,1119449-37-4,77641-59-9,108-84-9,,1619919-94-6,,,123-35-3
10032-11-8,75-44-5,141-66-2,115-07-1,1336-36-3,12141-20-7,6386-73-8,108-83-8,,1201-31-6,,,123-91-1
10032-13-0,7803-51-2,814-49-3,115-10-6,1120-71-4,1319-46-6,29426-78-6,108-67-8,,122894-73-9,,,124-48-1
10032-15-2,7723-14-0,297-97-2,115-11-7,57-57-8,307-55-1,6073-11-6,108-24-7,,1652-63-7,,,124-58-3
100-32-3,85-44-9,71-63-6,116-14-3,123-38-6,12202-17-4,104133-73-5,108-21-4,,14518-69-5,,,124-58-3
1003-29-8,1336-36-3,2238-07-5,118-96-7,114-26-1,78-00-2,2024-88-6,108-20-3,,110726-28-8,,,12427-38-2
1003300-72-8,1120-71-4,20830-75-5,12057-74-8,78-87-5,62229-08-7,1675-54-3,108-18-9,,120208,,,125-33-7
1003300-73-9,57-57-8,55-91-4,12058-85-4,75-56-9,11120-22-2,25085-99-8,108-10-1,,1708942-16-8,,,126-07-8
1003-30-1,123-38-6,115-26-4,121-45-9,75-55-8,68784-75-8,3253-39-2,108-03-2,,129750,,,126-72-7
1003-39-0,114-26-1,60-51-5,122-52-1,91-22-5,8012-00-8,64401-02-1,108-38-3,,1116-54-7,,,126-85-2
100339-05-7,78-87-5,2524-03-0,124-40-3,106-51-4,12065-90-6,68318-44-5,108-23-6,,151372,,,126-99-8
10034-77-2,75-56-9,75-78-5,12504-16-4,100-42-5,72629-94-8,68610-56-0,108-05-4,,147809;UID-2016-00248,,,12663-46-6
10034-81-8,75-55-8,99-98-9,129-66-8,96-09-3,1314-41-6,55818-57-0,109-89-7,,1220986-58-2,,,127-07-1
10034-85-2,91-22-5,644-64-4,129-79-3,1746-01-6,95-53-4,1478-61-1,109-66-0,,110843-97-5,,,127-18-4
10034-93-2,106-51-4,88-85-7,1305-99-3,79-34-5,97-56-3,68609-08-5,109-61-5,,136482,,,127-19-5
10035-10-6,100-42-5,1420-07-1,1314-80-3,127-18-4,79-16-3,30583-72-3,109-60-4,,12510-42-8,,,127-69-5
1003582-37-3,96-09-3,78-34-2,131-73-7,7550-45-0,68-12-2,25068-38-6,109-90-0,,107450,,,128-37-0
10036-47-2,1746-01-6,82-66-6,131-74-8,108-88-3,75-56-9,68458-98-0,110-75-8,,136335,,,128-66-5
100-36-7,79-34-5,152-16-9,1333-74-0,95-80-7,625-45-6,181028-79-5,110-54-3,,138557,,,129-00-0
1003-67-4,127-18-4,298-04-4,13424-46-9,584-84-9,12626-81-2,42617-82-3,110-19-0,,16096-31-4,,,129-15-7
100370-05-6,7550-45-0,514-73-8,13637-63-3,95-53-4,12060-00-3,107-46-0,110-12-3,,130353-62-7,,,129-17-9
1003-73-2,108-88-3,541-53-7,13863-41-7,8001-35-2,12036-76-9,107-51-7,110-91-8,,153196,,,129-20-4
100-37-8,95-80-7,316-42-7,139-87-7,120-82-1,1317-36-8,141-62-8,110-57-6,,163961-26-0,,,129-43-1
1003863-30-6,584-84-9,115-29-7,141-57-1,79-00-5,10099-74-8,141-63-9,110-43-0,,130360;UID-2016-00201,,,129-73-7
1003863-31-7,95-53-4,2778-04-3,142868-93-7,79-01-6,20837-86-9,541-05-9,111-65-9,,1651153-45-5,,,13010-47-4
10038-98-9,8001-35-2,72-20-8,142868-94-8,95-95-4,13814-96-5,127-18-4,111-84-2,,130169-66-3,,,1303-00-0
100-39-0,120-82-1,2104-64-5,1445-76-7,88-06-2,25550-51-0,1615-75-4,115-21-9,,1078715-90-8,,,13045-94-8
10039-33-5,79-00-5,50-14-6,14977-61-8,121-44-8,19438-60-9,24270-66-4,115-07-1,,146975,,,1309-37-1
10039-54-0,79-01-6,379-79-3,1498-54-0,1582-09-8,57110-29-9,353-36-6,121-45-9,,143896,,,1309-64-4
100402-75-3,95-95-4,107-15-3,1498-60-8,108-05-4,48122-14-1,406-58-6,121-44-8,,153232,,,131-79-3
100402-78-6,88-06-2,79-21-0,15245-44-0,593-60-2,376-06-7,431-31-2,123-92-2,,1078726-28-9,,,1313-27-5
100402-82-2,121-44-8,1622-32-8,15512-36-4,75-01-4,2058-94-8,431-63-0,123-91-1,,106720,,,1314-62-1
100402-91-3,1582-09-8,505-60-2,15715-41-0,75-35-4,110-00-9,460-73-1,123-86-4,,146646,,,1317-60-8
100-40-3,540-84-1,16752-77-5,15825-70-4,1330-20-7,91031-62-8,679-86-7,123-51-3,,145556-04-3,,,1318-02-1
100403-55-2,108-05-4,10140-87-1,1719-53-5,95-47-6,12578-12-0,690-39-1,123-42-2,,103798,,,132-27-4
100404-06-6,593-60-2,563-12-2,18810-58-7,108-38-3,88-85-7,71-55-6,123-38-6,,143410,,,132-65-0
10041-19-7,75-01-4,13194-48-4,20062-22-0,106-42-3,77-78-1,75-09-2,123-19-3,,163474,,,13233-32-4
100-41-4,75-35-4,538-07-8,20770-41-6,N010,605-50-5,68037-39-8,124-48-1,,150595,,,13256-22-9
1004-14-4,1330-20-7,107-12-0,23306-80-1,N020,64-67-5,184963-09-5,140-88-5,,15290-77-4,,,13292-46-1
100-42-5,95-47-6,371-62-0,2508-19-2,N050,683-18-1,9010-98-4,141-78-6,,135285-90-4,,,133-06-2
10042-59-8,108-38-3,542-90-5,25167-67-3,N078,123-77-3,63231-66-3,141-43-5,,135672,,,1330-20-7
10042-65-6,106-42-3,22224-92-6,25550-58-7,N090,13149-00-3,64754-90-1,142-96-1,,1129-42-6,,,12001-28-4
10042-66-7,N010,115-90-2,26134-62-3,N096,85-42-7,68648-82-8,142-82-5,,12032-75-6,,,12001-29-5
10042-67-8,N020,4301-50-2,2625-76-5,N106,14166-21-3,126-99-8,149-74-6,,1130165-74-0,,,12172-73-5
10042-76-9,N050,7782-41-4,2691-41-0,N420,1163-19-5,9002-86-2,151-56-4,,1372804-76-6,,,1332-21-4
10042-84-9,N078,640-19-7,26952-42-1,N450,92-67-1,25035-98-7,156-60-5,,16517-11-6,,,1333-86-4
