TSCA,HAPS,EHS,COI,RTK,SVHC,RED,EPA,LTAP,SNUR List,NES HAPS,"PBT
(WAC 173-333-320)",IARC
100-44-7,,13463-40-6,507-02-8,91-08-7,2315-67-5,134237-31-3,590-66-9,,1186211-38-0,,,139-94-6
10045-86-0,,297-78-9,519-44-8,1464-53-5,2315-61-9,1599-41-3,591-78-6,,129829,,,13909-09-6
10045-89-3,,78-82-0,5283-66-9,10294-34-5,9002-93-1,1652-81-9,593-60-2,,13439-89-9,,,13909-09-6
10045-94-0,,102-36-3,5283-67-0,7637-07-2,101-80-4,2268-46-4,594-72-9,,1065544-88-8,,,13982-63-3
10045-95-1,,465-73-6,53014-37-2,7726-95-6,838-88-0,29255-31-0,597-64-8,,1003863-30-6,,,13983-17-0
10046-00-1,,4098-71-9,54413-15-9,4170-30-3,143860-04-2,3182-26-1,600-25-9,,1535169-81-3,,,140-11-4
100468-44-8,,119-38-0,55510-04-8,1306-19-0,106-94-5,353-59-3,627-13-4,,1701446-41-4,,,140-56-7
100468-45-9,,556-61-6,55-63-0,2223-93-0,629-14-1,354-56-3,630-20-6,,156128,,,140-57-8
100-46-9,,78-97-7,556-88-7,7778-44-1,84777-06-0,354-58-5,637-50-3,,167758-87-4,,,140-88-5
100-47-0,,21609-90-5,557-98-2,1563-66-2,6786-83-0,374-07-2,684-16-2,,146588,,,1401-55-4
10047-28-6,,541-25-3,55810-17-8,79-22-1,101-61-1,422-78-6,764-41-0,,138217,,,1402-68-2
1004-75-7,,7580-67-8,55-86-7,51-75-2,17570-76-2,422-86-6,765-34-4,,119438-11-8,,,14047-09-7
100-48-1,,109-77-3,563-45-1,542-76-7,75-12-7,4259-43-2,814-68-6,,105090,,,141-32-2
100486-94-0,,12108-13-3,563-46-2,10025-73-7,1303-86-2,661-97-2,828-00-2,,117-33-9,,,141-37-7
100486-95-1,,950-10-7,57607-37-1,10210-68-1,2580-56-5,75-63-8,993-00-0,,135228-60-3,,,141-90-2
100486-96-2,,2032-65-7,57856-11-8,62207-76-5,548-62-9,75-69-4,998-30-1,,101316-83-0,,,142-04-1
100486-97-3,,1600-27-7,590-18-1,12002-03-8,90-94-8,75-71-8,1189-85-1,,14650-24-9,,,142-83-6
100486-98-4,,7487-94-7,590-21-6,506-68-3,561-41-1,75-72-9,1330-20-7,,165505,,,143-50-0
10048-98-3,,21908-53-2,598-73-2,506-78-5,59653-74-6,76-11-9,1338-23-4,,110-80-5,,,143-67-9
10049-01-1,,10476-95-6,60-29-7,675-14-9,2451-62-9,76-12-0,1634-04-4,,110-71-4,,,144-34-3
10049-04-4,,760-93-0,602-99-3,110-57-6,112-49-2,76-13-1,4109-96-0,,103458-14-6,,,14484-64-1
10049-05-5,,126-98-7,606-35-9,60-51-5,110-71-4,76-14-2,7572-29-4,,148240-78-2,,,14596-37-3
10049-06-6,,920-46-7,624-64-6,2524-03-0,3687-31-8,76-15-3,8003-19-8,,155613-93-7,,,1464-53-5
10049-07-7,,30674-80-7,627-20-3,88-85-7,11103-86-9,76-18-6,8052-41-3,,1708942-18-0,,,148-18-5
10049-08-8,,10265-92-6,628-86-4,541-53-7,77-09-8,1112-14-7,10061-02-6,,129813-71-4,,,148-24-3
10049-14-6,,594-42-3,637-39-8,79-21-0,49663-84-5,111512-56-2,10140-87-1,,110-49-6,,,148-82-3
10049-17-9,,558-25-8,63869-13-6,505-60-2,127-19-5,116890-51-8,25013-15-4,,16958-71-7,,,14807-96-6
100-49-2,,509-14-8,63905-10-2,13194-48-4,15245-44-0,127564-83-4,25322-01-4,,167412-23-9,,,14807-96-6
10049-24-8,,74-93-1,63918-89-8,7782-41-4,6477-64-1,127564-90-3,25323-89-1,,1391739-82-4,,,14807-96-6
10049-36-2,,950-37-8,63918-90-1,62-74-8,13424-46-9,127564-92-5,25550-14-5,,161887,,,14808-60-7
1005-02-3,,151-38-2,646-04-8,51-21-8,25214-70-4,128903-21-9,26638-19-7,,128155,,,149-29-1
100-50-5,,80-63-7,676-98-2,110-00-9,24613-89-6,134190-49-1,26952-21-6,,112704-79-7,,,149-30-4
10051-44-2,,502-39-6,676-99-3,74-90-8,7778-44-1,134190-50-4,28258-59-5,,157109,,,14901-08-7
100-51-6,,298-00-0,67713-16-0,7783-07-5,117-82-8,134190-51-5,29224-55-3,,1313708-90-5,,,150-13-0
100520-15-8,,3735-23-7,677-42-9,13463-40-6,111-96-6,134190-52-6,,,130728-76-6,,,150-68-5
10052-47-8,,676-97-1,677-43-0,465-73-6,7778-39-4,134190-53-7,,,131538-00-6,,,150-69-6
100-52-7,,556-64-9,684-16-2,4098-71-9,140-66-9,13474-88-9,,,135149,,,15086-94-9
1005328-84-6,,75-79-6,689-97-4,556-61-6,90-04-0,136013-79-1,,,123401,,,151-56-4
1005-32-9,,78-94-4,690-14-2,109-77-3,101-14-4,1649-08-7,,,1003300-73-9,,,15262-20-1
1005-35-2,,1129-41-5,693-21-0,12108-13-3,107-06-2,1717-00-6,,,130940,,,154-93-8
100-53-8,,7786-34-7,7040-57-5,2032-65-7,302-01-2,25915-78-0,,,135945,,,15501-74-3
100545-50-4,,315-18-4,7429-90-5,1600-27-7,7803-57-8,27154-33-2,,,153454-44-5,,,15503-86-3
100545-61-7,,50-07-7,7439-95-4,7487-94-7,111-15-9,2837-89-0,,,151247,,,156-10-5
100545-62-8,,6923-22-4,7446-70-0,21908-53-2,872-50-4,306-83-2,,,13454-83-6,,,156-51-4
100545-64-0,,13463-39-3,74-82-8,126-98-7,68515-42-4,34077-87-7,,,111-15-9,,,15625-89-5
100545-65-1,,54-11-5,74-84-0,594-42-3,71888-89-6,354-11-0,,,105658-30-8,,,15663-27-1
100545-66-2,,65-30-5,74-85-1,509-14-8,96-18-4,354-14-3,,,148240-80-6,,,15721-02-5
100545-67-3,,7697-37-2,74-86-2,74-93-1,10124-43-3,354-21-2,,,131-18-0,,,1582-09-8
100545-68-4,,10102-43-9,74-89-5,151-38-2,10141-05-6,354-23-4,,,124540,,,16065-83-1
100545-69-5,,1122-60-7,74-98-6,502-39-6,71-48-7,354-25-6,,,155750,,,16071-86-6
100-54-9,,10102-44-0,74-99-7,298-00-0,513-79-1,359-28-4,,,157627-99-1,,,1615-80-1
100-55-0,,991-42-4,75-02-5,7786-34-7,1333-82-0,420-44-0,,,1014979-92-0,,,1634-04-4
1005516-89-1,,630-60-4,75-04-7,13463-39-3,13530-68-2,420-97-3,,,10007-84-8,,,
1005516-95-9,,23135-22-0,75-08-1,54-11-5,7738-94-5,420-99-5,,,1314035-89-6,,,
1005-67-0,,78-71-7,75-19-4,65-30-5,109-86-4,421-41-0,,,1415313-86-8,,,
1005-69-2,,2497-07-6,7521-80-4,7697-37-2,110-80-5,421-94-3,,,1623456-05-2,,,
100-57-2,,10028-15-6,75-28-5,10028-15-6,79-01-6,421-99-8,,,122908,,,
100573-96-4,,1910-42-5,75-29-6,1910-42-5,12267-73-1,422-26-4,,,145814,,,
10058-23-8,,2074-50-2,75-31-0,62-38-4,7778-50-9,422-44-6,,,167910,,,
100-58-3,,19624-22-7,75-36-5,75-74-1,7789-00-6,422-48-0,,,160535-46-6,,,
10058-43-2,,2570-26-5,75-37-6,10124-50-2,12179-04-3,422-49-1,,,166432-58-2,,,
10058-44-3,,64-00-6,75-38-7,151-50-8,1303-96-4,422-52-6,,,125904-10-1,,,
100-59-4,,4418-66-0,753-98-0,506-61-6,1330-43-4,422-54-8,,,101-55-3,,,
10060-10-3,,58-36-6,75-50-3,7783-00-8,11113-50-1,422-55-9,,,16079-88-2,,,
100-60-7,,59-88-1,75-52-5,7791-23-3,10043-35-3,422-56-0,,,150711,,,
10061-02-6,,62-38-4,75-54-7,7631-89-2,79-06-1,425-94-5,,,137521-81-4,,,
10061-68-4,,2097-19-0,757-58-4,7784-46-5,115-96-8,430-55-7,,,141914-99-0,,,
100-61-8,,103-85-5,75-76-3,26628-22-8,65996-93-2,430-57-9,,,120579-31-9,,,
100622-41-1,,298-02-2,75-94-5,143-33-9,1344-37-2,431-06-1,,,128446-60-6,,,
1006-23-1,,4104-14-7,7616-94-6,13410-01-0,12656-85-8,431-86-7,,,1033385-42-0,,,
1006-27-5,,947-02-4,7631-99-4,10102-18-8,7758-97-6,431-87-8,,,156413,,,
100-63-0,,13171-21-6,7722-64-7,57-24-9,84-69-5,460-35-5,,,1245553-85-8,,,
100-64-1,,2703-13-1,7727-15-3,60-41-3,90640-82-7,460-63-9,,,113236,,,
100-65-2,,50782-69-9,7757-79-1,7664-93-9,91995-17-4,460-69-5,,,141420-50-0,,,
100656-59-5,,2665-30-7,7775-14-6,78-00-2,91995-15-2,460-89-9,,,128520,,,
1006-59-3,,3254-63-5,7778-74-7,6533-73-9,90640-81-6,460-92-4,,,131125,,,
100-66-3,,2587-90-8,7779-86-4,7791-12-0,90640-80-5,507-55-1,,,147229,,,
100-67-4,,7719-12-2,7782-65-2,7446-18-6,121-14-2,593-70-4,,,143034;UID-2016-00049,,,
100684-91-1,,10025-87-3,7782-89-0,10031-59-1,15606-95-8,63938-10-3,,,127133-66-8,,,
100684-92-2,,10026-13-8,7783-41-7,79-19-6,10588-01-9,666-27-3,,,112-73-2,,,
100-68-5,,57-47-6,7783-58-6,76-02-8,7789-12-0,679-99-2,,,148788-55-0,,,
1006877-61-7,,57-64-7,7783-61-1,639-58-7,7784-40-9,7125-84-0,,,117397-31-6,,,
100-69-6,,124-87-8,7783-66-6,1314-62-1,134237-52-8,75-43-4,,,1708942-17-9,,,
1006-99-1,,110-89-4,7783-79-1,81-81-2,134237-51-7,75-45-6,,,123650,,,
100-70-9,,23505-41-1,7783-82-6,129-06-6,25637-99-4,75-68-3,,,1227908-26-0,,,
100-71-0,,75-74-1,7787-71-5,58270-08-9,3194-55-6,75-88-7,,,1267611-71-1,,,
1007-16-5,,10124-50-2,7789-21-1,1314-84-7,134237-50-6,812-04-4,,,163292-61-3,,,
100728-85-6,,151-50-8,7789-30-2,10049-04-4,84-74-2,819-00-1,,,168935,,,
100-73-2,,506-61-6,7789-69-7,115-07-1,1327-53-3,90454-18-5,,,134306,,,
100-74-3,,2631-37-0,7790-91-2,116-14-3,1303-28-2,9003-08-1,,,1568954-90-4,,,
100-75-4,,106-96-7,7790-94-5,124-40-3,7646-79-9,9011-05-6,,,138104,,,
1007-57-4,,70-69-9,7790-98-9,506-77-4,56-35-9,9084-06-4,,,1078726-27-8,,,
10075-85-1,,2275-18-5,7791-21-1,55-63-0,117-81-7,107-16-4,,,102966,,,
100-76-5,,129-00-0,7791-25-5,628-86-4,85-68-7,120712-84-7,,,105362-40-1,,,
100765-56-8,,140-76-1,7803-52-3,7429-90-5,120-12-7,1338-51-8,,,133911-74-7,,,
100765-57-9,,1124-33-0,7803-54-5,74-85-1,85535-84-8,24969-11-7,,,144267-96-9,,,
1007848-63-6,,53558-25-1,7803-62-5,75-02-5,81-15-2,25035-71-6,,,1002761-12-7,,,
10079-20-6,,14167-18-1,78-11-5,75-52-5,101-77-9,25036-13-9,,,136880,,,
100-79-8,,107-44-8,78413-87-3,7722-64-7,22673-19-4,25085-50-1,,,120983-72-4,,,
100-80-1,,7783-00-8,78-78-4,7779-86-4,94-26-8,25104-55-6,,,152115,,,
100-81-2,,7791-23-3,78-79-5,78-79-5,693-98-1,25212-25-3,,,163961-34-0,,,
100815-94-9,,563-41-7,79-04-9,88-89-1,1072-63-5,25986-71-4,,,158226,,,
100815-95-0,,3037-72-7,79-38-9,15972-60-8,,26139-75-3,,,126505-35-9,,,
100815-96-1,,75-77-4,80-10-4,1344-28-1,,28064-14-4,,,103969-85-3,,,
100815-97-2,,7631-89-2,8014-95-7,117-79-3,,29690-82-2,,,1256282-88-8,,,
100815-98-3,,7784-46-5,8066-33-9,60-09-3,,30525-89-4,,,119344-86-4,,,
100815-99-4,,26628-22-8,82-71-3,81-49-2,,30704-64-4,,,121144-97-6,,,
100816-00-0,,124-65-2,87-31-0,82-28-0,,37293-74-6,,,132811,,,
100816-01-1,,143-33-9,88-88-0,33089-61-1,,50-00-0,,,149935-01-3,,,
100816-02-2,,13410-01-0,88-89-1,61-82-5,,68002-19-7,,,127992,,,
100816-03-3,,10102-18-8,9004-70-0,7664-41-7,,68002-20-0,,,1535169-59-5,,,
100816-04-4,,10102-20-2,9056-38-6,7789-09-5,,68003-26-9,,,158635,,,
100816-05-5,,900-95-8,928-65-4,7788-98-9,,68082-92-8,,,1651152-05-4,,,
100816-06-6,,57-24-9,932-64-9,1336-21-6,,68585-23-9,,,136504-87-5,,,
100816-07-7,,60-41-3,96-64-0,7803-55-6,,68610-07-1,,,137787-41-8,,,
100816-08-8,,3689-24-5,98-12-4,104-94-9,,68611-64-3,,,1187-03-7,,,
100816-09-9,,3569-57-1,993-00-0,134-29-2,,75199-12-1,,,147768-39-6,,,
100816-10-2,,7446-09-5,993-43-1,120-12-7,,870-72-4,,,134818-69-2,,,
10081-67-1,,7783-60-0,99-35-4,7440-36-0,,9003-35-4,,,135020-80-3,,,
100-82-3,,7664-93-9,,28300-74-5,,9069-79-8,,,1426298-25-0,,,
100-83-4,,7446-11-9,,7789-61-9,,9069-80-1,,,135011-47-1,,,
100842-25-9,,77-81-6,,10025-91-9,,94645-56-4,,,151689,,,
100842-26-0,,7783-80-4,,7783-56-4,,27967-29-9,,,152007-82-4,,,
100842-27-1,,107-49-3,,1309-64-4,,2052-07-5,,,146282,,,
100842-28-2,,13071-79-9,,7440-38-2,,118-79-6,,,146340,,,
100-84-5,,78-00-2,,7778-39-4,,125997-20-8,,,158318-67-3,,,
100-85-6,,597-64-8,,1303-32-8,,126-72-7,,,139674,,,
10086-51-8,,6533-73-9,,1303-33-9,,13654-09-6,,,159574-72-8,,,
100-86-7,,7791-12-0,,71751-41-2,,138257-18-8,,,151717-27-0,,,
1008-72-6,,7446-18-6,,7440-39-3,,148993-99-1,,,143807,,,
1008753-84-1,,10031-59-1,,N040,,182346-21-0,,,162459,,,
100-87-8,,2757-18-8,,542-62-1,,183658-27-7,,,162415,,,
1008-88-4,,2231-57-4,,17804-35-2,,189084-64-8,,,1627528-04-4,,,
10088-87-6,,39196-18-4,,55-21-0,,189084-68-2,,,15365-14-7,,,
100-88-9,,79-19-6,,56-55-3,,19186-97-1,,,160901-25-7,,,
100-89-0,,5344-82-1,,205-99-2,,20566-35-2,,,103490-06-8,,,
10089-93-7,,614-78-8,,205-82-3,,207122-15-4,,,1382106-78-6,,,
1009-11-6,,1031-47-6,,207-08-9,,207122-16-5,,,126-72-7,,,
100912-15-0,,24017-47-8,,191-24-2,,21850-44-2,,,1511-62-2,,,
1009-14-9,,76-02-8,,50-32-8,,25327-89-3,,,144267-97-0,,,
100916-00-5,,1558-25-4,,98-88-4,,25357-79-3,,,141629,,,
100916-01-6,,27137-85-5,,94-36-0,,25495-98-1,,,118716-61-3,,,
100916-02-7,,115-21-9,,7440-41-7,,26040-51-7,,,133256,,,
100930-20-9,,327-98-0,,7787-47-5,,32534-81-9,,,132855,,,
100930-21-0,,98-13-5,,7787-49-7,,32536-52-0,,,123296,,,
100930-22-1,,998-30-1,,7787-55-5,,32588-76-4,,,123785,,,
100930-23-2,,824-11-3,,13597-99-4,,3278-89-5,,,103378,,,
100930-24-3,,1066-45-1,,82657-04-3,,3296-90-0,,,121972,,,
100930-25-4,,639-58-7,,3296-90-0,,3322-93-8,,,149021,,,
100930-26-5,,555-77-1,,111-91-1,,35109-60-5,,,10192-46-8,,,
100930-27-6,,2001-95-8,,10347-54-3,,36355-01-8,,,126002,,,
100930-28-7,,1314-62-1,,38661-72-2,,36483-60-0,,,13990-54-0,,,
100930-29-8,,81-81-2,,56-35-9,,37853-59-1,,,106359-91-5,,,
100930-30-1,,129-06-6,,35691-65-7,,38051-10-4,,,132311,,,
100930-31-2,,28347-13-9,,314-40-9,,40088-47-9,,,101316-53-4,,,
100930-32-3,,58270-08-9,,357-57-3,,41318-75-6,,,132651,,,
100-93-6,,1314-84-7,,141-32-2,,4162-45-2,,,125630-94-6,,,
1009-36-5,,,,71-36-3,,446255-22-7,,,159229,,,
10094-34-5,,,,78-92-2,,49690-94-0,,,1476777-83-9,,,
10094-40-3,,,,75-65-0,,51936-55-1,,,1192146-78-3,,,
10094-41-4,,,,1861-40-1,,5412-25-9,,,1417164-49-8,,,
10094-45-8,,,,123-72-8,,5436-43-1,,,166519,,,
100-94-7,,,,7440-43-9,,57137-10-7,,,148240-89-5,,,
1009-61-6,,,,543-90-8,,58965-66-5,,,148073,,,
1009-62-7,,,,7789-42-6,,59080-40-9,,,121776-57-6,,,
100-97-0,,,,10108-64-2,,59447-57-3,,,1639131-79-5,,,
10097-02-6,,,,52740-16-6,,60044-24-8,,,112-36-7,,,
10097-09-3,,,,13765-19-0,,60348-60-9,,,1195978-93-8,,,
10097-28-6,,,,592-01-8,,632-79-1,,,142-30-3,,,
10098-89-2,,,,115-28-6,,63936-56-1,,,143636,,,
100-99-2,,,,4080-31-3,,67888-96-4,,,147170-38-5,,,
1009-93-4,,,,106-47-8,,67990-32-3,,,148240-82-8,,,
10099-57-7,,,,1912-24-9,,68631-49-2,,,1267611-35-7,,,
10099-58-8,,,,563-47-3,,68928-70-1,,,130348,,,
10099-59-9,,,,N084,,68928-80-3,,,163929,,,
10099-60-2,,,,104-12-1,,71342-77-3,,,119535-63-6,,,
10099-66-8,,,,76-06-2,,77098-07-8,,,142828-65-7,,,
10099-67-9,,,,63938-10-3,,79-94-7,,,108928-00-3,,,
10099-70-4,,,,1897-45-6,,84852-53-9,,,1013910-41-2,,,
10099-71-5,,,,95-69-2,,85-22-3,,,156015,,,
10099-74-8,,,,75-72-9,,87-82-1,,,1691-99-2,,,
10099-76-0,,,,62476-59-9,,87-83-2,,,118537-88-5,,,
10099-79-3,,,,64902-72-3,,88497-56-7,,,136722,,,
10101-39-0,,,,1066-30-4,,92-86-4,,,141072,,,
10101-50-5,,,,7738-94-5,,94334-64-2,,,1008753-84-1,,,
10101-52-7,,,,11115-74-5,,115-28-6,,,15709-82-7,,,
10101-53-8,,,,10101-53-8,,13674-84-5,,,164383-18-0,,,
10101-58-3,,,,7440-47-3,,13674-87-8,,,1402738-52-6,,,
10101-60-7,,,,10049-05-5,,40120-74-9,,,133438,,,
10101-63-0,,,,28057-48-9,,6145-73-9,,,156140,,,
10101-66-3,,,,218-01-9,,66108-37-0,,,12057-17-9,,,
10101-83-4,,,,4680-78-8,,76025-08-6,,,16068-37-4,,,
10101-86-7,,,,6459-94-5,,76649-15-5,,,161296,,,
10101-88-9,,,,569-64-2,,78-43-3,,,139787,,,
101-01-9,,,,989-38-8,,1763-23-1,,,160848-22-6,,,
1010-19-1,,,,1937-37-7,,307-34-6,,,152955,,,
10101-95-8,,,,28407-37-6,,375-85-9,,,12049-47-7,,,
101-02-0,,,,2602-46-2,,423-50-7,,,148240-85-1,,,
10102-05-3,,,,16071-86-6,,86508-42-1,,,163879-69-4,,,
10102-06-4,,,,2832-40-8,,2706-90-3,,,152897,,,
10102-18-8,,,,3761-53-3,,307-24-4,,,1651152-96-3,,,
10102-20-2,,,,81-88-9,,375-22-4,,,121602-93-5,,,
10102-24-6,,,,3118-97-6,,375-73-5,,,1701446-39-0,,,
10102-43-9,,,,97-56-3,,307-35-7,,,162222,,,
10102-44-0,,,,842-07-9,,9002-84-0,,,1315588-63-6,,,
10102-45-1,,,,492-80-8,,117-84-0,,,1421029-88-0,,,
10102-53-1,,,,128-66-5,,119-06-2,,,16071-86-6,,,
10102-68-8,,,,7440-48-4,,131-11-3,,,1708942-20-4,,,
10102-71-3,,,,7789-43-7,,131-16-8,,,129487,,,
10102-90-6,,,,544-18-3,,146-50-9,,,142636-90-6,,,
10103-17-0,,,,14017-41-5,,16883-83-3,,,110-03-2,,,
101033-44-7,,,,7440-50-8,,26761-40-0,,,1410795-87-7,,,
10103-43-2,,,,N100,,27554-26-3,,,107481-28-7,,,
10103-46-5,,,,544-92-3,,28553-12-0,,,124-63-0,,,
10103-48-7,,,,8001-58-9,,3648-20-2,,,124993-63-1,,,
10103-50-1,,,,120-71-8,,4782-29-0,,,118716-62-4,,,
10103-61-4,,,,135-20-6,,53306-54-0,,,1190264-82-4,,,
10105-42-7,,,,142-71-2,,68515-48-0,,,1400790-00-2,,,
101-06-4,,,,7447-39-4,,68515-49-1,,,144719,,,
10107-99-0,,,,3251-23-8,,84-66-2,,,1267611-99-3,,,
10108-22-2,,,,5893-66-3,,96507-86-7,,,1332716-20-7,,,
10108-61-9,,,,7758-98-7,,11096-82-5,,,126213-50-1,,,
10108-64-2,,,,10380-29-7,,11097-69-1,,,142360,,,
10108-73-3,,,,815-82-7,,11100-14-4,,,16298-38-7,,,
101-09-7,,,,21725-46-2,,11104-28-2,,,121621,,,
10109-95-2,,,,1134-23-2,,11141-16-5,,,123898,,,
101-10-0,,,,110-82-7,,12672-29-6,,,151686-36-1,,,
10110-15-3,,,,2556-36-7,,12674-11-2,,,163206-29-9,,,
10110-24-4,,,,108-93-0,,12767-79-2,,,137873-52-0,,,
101-11-1,,,,68085-85-8,,13029-08-8,,,170059,,,
1011-12-7,,,,1929-73-3,,1336-36-3,,,1462343-28-7,,,
101-12-2,,,,2971-38-2,,147601-87-4,,,138495-42-8,,,
10112-91-1,,,,94-11-1,,151820-27-8,,,163436-84-8,,,
10114-24-6,,,,1320-18-9,,15862-07-4,,,12141-67-2,,,
101-14-4,,,,94-82-6,,15968-05-5,,,144797,,,
10114-46-2,,,,1163-19-5,,165245-51-2,,,1007-16-5,,,
10114-47-3,,,,13684-56-5,,16605-91-7,,,13169-90-9,,,
10114-58-6,,,,1928-43-4,,16606-02-3,,,1279108-20-1,,,
10114-63-3,,,,53404-37-8,,18259-05-7,,,138859-29-7,,,
10114-86-0,,,,2303-16-4,,2050-67-1,,,144972-86-1,,,
10114-96-2,,,,615-05-4,,2050-68-2,,,123171-68-6,,,
10114-97-3,,,,39156-41-7,,2051-24-3,,,1583-58-0,,,
1011-50-3,,,,101-80-4,,2051-60-7,,,136504-96-6,,,
10115-25-0,,,,333-41-5,,2051-61-8,,,1254743-03-7,,,
101-15-5,,,,226-36-8,,2051-62-9,,,116671-32-0,,,
101162-60-1,,,,224-42-0,,2136-99-4,,,122704,,,
1011-73-0,,,,53-70-3,,2437-79-8,,,133370,,,
10117-38-1,,,,194-59-2,,25323-68-6,,,148240-87-3,,,
101-18-8,,,,5385-75-1,,25429-29-2,,,16923-87-8,,,
10119-31-0,,,,192-65-4,,25512-42-9,,,156294-54-1,,,
10119-53-6,,,,189-64-0,,25569-80-6,,,1401974-24-0,,,
101200-51-5,,,,191-30-0,,26601-64-9,,,1128-76-3,,,
101200-52-6,,,,189-55-9,,26914-33-0,,,138342,,,
101200-53-7,,,,1689-84-5,,27323-18-8,,,1190265-49-6,,,
101200-55-9,,,,10222-01-2,,28655-71-2,,,110843-98-6,,,
101200-57-1,,,,541-73-1,,2974-90-5,,,149564-65-8,,,
101200-58-2,,,,25321-22-6,,2974-92-7,,,111109-77-4,,,
101200-60-6,,,,612-83-9,,31508-00-6,,,118537-84-1,,,
101200-61-7,,,,64969-34-2,,32598-10-0,,,136040-19-2,,,
101200-62-8,,,,75-27-4,,32598-11-1,,,12175-02-9,,,
101200-63-9,,,,764-41-0,,32598-12-2,,,126615,,,
101-20-2,,,,101-05-3,,32598-13-3,,,139911-28-7,,,
1012042-03-3,,,,75-71-8,,32598-14-4,,,148240-86-2,,,
101227-25-2,,,,68359-37-5,,32690-93-0,,,148684-79-1,,,
101227-27-4,,,,540-59-0,,32774-16-6,,,1078712-88-5,,,
101227-28-5,,,,108-60-1,,33025-41-1,,,153556-42-4,,,
101227-29-6,,,,1918-00-9,,33091-17-7,,,163802-53-7,,,
10124-29-5,,,,99-30-9,,33146-45-1,,,103580-64-9,,,
10124-31-9,,,,127564-92-5,,33284-50-3,,,154862-40-5,,,
10124-36-4,,,,120-83-2,,33284-52-5,,,133336,,,
10124-37-5,,,,10061-02-6,,33284-53-6,,,148240-88-4,,,
10124-41-1,,,,78-88-6,,33284-54-7,,,154724,,,
10124-43-3,,,,76-14-2,,33979-03-2,,,153590-17-1,,,
10124-48-8,,,,34077-87-7,,34883-39-1,,,155250,,,
10124-49-9,,,,90454-18-5,,34883-41-5,,,147036,,,
10124-53-5,,,,51338-27-3,,34883-43-7,,,1180493-12-2,,,
10124-54-6,,,,115-32-2,,35065-27-1,,,168504,,,
10124-56-8,,,,77-73-6,,35065-28-2,,,149303-87-7,,,
101-24-6,,,,38727-55-8,,35065-29-3,,,161898,,,
10124-65-9,,,,134190-37-7,,35065-30-6,,,1660-95-3,,,
10124-68-2,,,,35367-38-5,,35693-92-6,,,147783-69-5,,,
101-25-7,,,,101-90-6,,35693-99-3,,,152386,,,
10126-68-8,,,,5234-68-4,,35694-04-3,,,111-96-6,,,
10126-87-1,,,,94-58-6,,35694-06-5,,,125883,,,
10126-90-6,,,,N120,,35694-08-7,,,144388,,,
10127-03-4,,,,4128-73-8,,36559-22-5,,,1078715-62-4,,,
10127-05-6,,,,75790-87-3,,37234-40-5,,,149850-30-6,,,
10127-06-7,,,,55290-64-7,,37324-23-5,,,100912-15-0,,,
1012-72-2,,,,20325-40-0,,37680-65-2,,,163520-33-0,,,
10127-27-2,,,,91-93-0,,37680-66-3,,,1078142-02-5,,,
10127-36-3,,,,111984-09-9,,37680-68-5,,,144761-93-3,,,
10128-55-9,,,,2300-66-5,,37680-69-6,,,170678-69-0,,,
10129-44-9,,,,57-97-6,,37680-73-2,,,1373220-73-5,,,
101294-98-8,,,,22781-23-3,,38379-99-6,,,116971-11-0,,,
101294-99-9,,,,91-97-4,,38380-01-7,,,150135-57-2,,,
10130-29-7,,,,139-25-3,,38380-02-8,,,115372-36-6,,,
10130-53-7,,,,105-67-9,,38380-03-9,,,1662663-05-9,,,
10130-89-9,,,,5598-13-0,,38380-04-0,,,130428,,,
101-31-5,,,,99-65-0,,38380-05-1,,,119462-56-5,,,
101316-53-4,,,,528-29-0,,38380-07-3,,,117806-54-9,,,
101316-73-8,,,,100-25-4,,38380-08-4,,,1708942-22-6,,,
101316-83-0,,,,42397-64-8,,38411-22-2,,,1708942-23-7,,,
101316-88-5,,,,42397-65-9,,38411-25-5,,,1708942-24-8,,,
101316-89-6,,,,25321-14-6,,38444-73-4,,,171063,,,
101316-90-9,,,,606-20-2,,38444-76-7,,,171611-11-3,,,
10132-07-7,,,,39300-45-3,,38444-77-8,,,17202-41-4,,,
101325-00-2,,,,N150,,38444-81-4,,,172088,,,
10132-80-6,,,,957-51-7,,38444-84-7,,,172343-36-1,,,
10132-98-6,,,,122-39-4,,38444-85-8,,,172351,,,
10132-99-7,,,,136-45-8,,38444-86-9,,,17264-74-3,,,
10134-33-5,,,,138-93-2,,38444-87-0,,,17264-88-9,,,
10134-35-7,,,,330-54-1,,38444-88-1,,,172691,,,
101-34-8,,,,120-36-5,,38444-90-5,,,172737,,,
101357-36-2,,,,2702-72-9,,38444-93-8,,,17274-10-1,,,
101357-37-3,,,,541-41-3,,39485-83-1,,,172793,,,
101-37-1,,,,90982-32-4,,39635-31-9,,,173014,,,
10137-69-6,,,,759-94-4,,39635-32-0,,,1731-79-9,,,
101377-54-2,,,,N171,,39635-33-1,,,173296,,,
101377-55-3,,,,111-54-6,,39635-34-2,,,173310,,,
101377-56-4,,,,834-12-8,,40186-70-7,,,173343,,,
101377-57-5,,,,52-85-7,,40186-71-8,,,173649,,,
101377-58-6,,,,60168-88-9,,40186-72-9,,,173904-11-5,,,
101377-59-7,,,,66441-23-4,,41411-61-4,,,174125-96-3,,,
101377-60-0,,,,55-38-9,,41411-62-5,,,174131,,,
101377-61-1,,,,51630-58-1,,41411-63-6,,,174254-18-3,,,
